,id,candidate,song,artist,sentiment,theme,album_release_date,line,url,lyrics_views,track_release_date,years_match,corrected_release_year,split_lyrics
66,67,Hillary Clinton,Bring It Back,KRS-ONE,neutral,,1997,It Takes a Village like Hillary,http://genius.com/Krs-one-bring-it-back-lyrics,1215,,,1997,"['It', 'Takes', 'a', 'Village', 'like', 'Hillary']"
67,68,Hillary Clinton,Smilin' Faces,Kutt Calhoun,negative,,2008,Look at Hillary Clinton when she speak / Looking like the devil with a grin,http://genius.com/Kutt-calhoun-smilin-faces-lyrics,3248,,,2008,"['Look', 'at', 'Hillary', 'Clinton', 'when', 'she', 'speak', '/', 'Looking', 'like', 'the', 'devil', 'with', 'a', 'grin']"
68,69,Hillary Clinton,Whatever You Want,Big Sean,positive,money,2010,Leading lady like Hillary grabbing big Bills,http://genius.com/Big-sean-whatever-you-want-lyrics,4984,,,2010,"['Leading', 'lady', 'like', 'Hillary', 'grabbing', 'big', 'Bills']"
69,70,Hillary Clinton,Lollipop,Lil Wayne,neutral,personal,2008,"And when I'm at the bottom, she Hillary Rodham",http://genius.com/Lil-wayne-lollipop-lyrics,318811,2008-03-13,True,2008,"['And', 'when', ""I'm"", 'at', 'the', 'bottom', 'she', 'Hillary', 'Rodham']"
70,71,Hillary Clinton,Let's Stay Together,Ludacris,negative,personal,2008,"Hillary's still with Bill Clinton, how do they do it? / He got his dick sucked and the whole damn WORLD knew it",http://genius.com/Ludacris-lets-stay-together-lyrics,1483,2008-11-24,True,2008,"[""Hillary's"", 'still', 'with', 'Bill', 'Clinton', 'how', 'do', 'they', 'do', 'it?', '/', 'He', 'got', 'his', 'dick', 'sucked', 'and', 'the', 'whole', 'damn', 'WORLD', 'knew', 'it']"
71,72,Hillary Clinton,Politics as Usual (Obama Is Here),Ludacris,negative,political,2008,Hillary hated on you so that {censored} bitch is irrelevant,http://genius.com/Ludacris-politics-as-usual-obama-is-here-lyrics,1617,,,2008,"['Hillary', 'hated', 'on', 'you', 'so', 'that', '{censored}', 'bitch', 'is', 'irrelevant']"
72,73,Hillary Clinton,The Ghetto Won't Change,Master P,negative,political,1996,"Every dollar I make, ten go back to Hillary and Bill, I guess life is real",http://genius.com/Master-p-the-ghetto-wont-change-lyrics,575,1996-04-16,True,1996,"['Every', 'dollar', 'I', 'make', 'ten', 'go', 'back', 'to', 'Hillary', 'and', 'Bill', 'I', 'guess', 'life', 'is', 'real']"
73,74,Hillary Clinton,Bitch I'm Bill Clinton,Lil B,positive,political,2010,"Shout-outs to Hillary Clinton, you gonna win that presidency",http://genius.com/Lil-b-bitch-im-bill-clinton-lyrics,23742,2010-11-09,True,2010,"['Shout-outs', 'to', 'Hillary', 'Clinton', 'you', 'gonna', 'win', 'that', 'presidency']"
74,75,Hillary Clinton,Fuck the Government,Mediumjay,negative,political,2012,"Fuck, The Governments Shit / Fuck, Hillary Clinton that Bitch",http://genius.com/Mediumjay-fuck-the-government-lyrics,1534,,,2012,"['Fuck', 'The', 'Governments', 'Shit', '/', 'Fuck', 'Hillary', 'Clinton', 'that', 'Bitch']"
75,76,Hillary Clinton,Cradle Rock,Method Man,negative,political,1998,Bad vibes filling me with thoughts of conspiracy / White Water scandals with Bill Clinton/Hillary,http://genius.com/Method-man-cradle-rock-lyrics,4880,1998-11-10,True,1998,"['Bad', 'vibes', 'filling', 'me', 'with', 'thoughts', 'of', 'conspiracy', '/', 'White', 'Water', 'scandals', 'with', 'Bill', 'Clinton/Hillary']"
76,77,Hillary Clinton,Vietnam,Mickey Factz,neutral,political,2008,Nothing against Hilary Clinton / But Obama's about to be winning,http://genius.com/Mickey-factz-vietnam-lyrics,919,,,2008,"['Nothing', 'against', 'Hilary', 'Clinton', '/', 'But', ""Obama's"", 'about', 'to', 'be', 'winning']"
77,78,Hillary Clinton,A Thing for Me,G-Eazy,neutral,personal,2011,"Liberally, accepting Monicas but missing Hillary",http://genius.com/G-eazy-a-thing-for-me-lyrics,12124,2011-03-31,True,2011,"['Liberally', 'accepting', 'Monicas', 'but', 'missing', 'Hillary']"
78,79,Hillary Clinton,Poizon Windz,Monsta Island Czars,neutral,,2003,"Head essential lightning agency throats, thinkin of Hilary Clinton",http://genius.com/Monsta-island-czars-poizon-windz-lyrics,304,2003-02-18,True,2003,"['Head', 'essential', 'lightning', 'agency', 'throats', 'thinkin', 'of', 'Hilary', 'Clinton']"
79,80,Hillary Clinton,Little This Little That,Naj Murph,neutral,personal,2013,I need a Hillary so let me know if you fit the bill; when we chill,http://genius.com/Naj-murph-little-this-little-that-lyrics,1005,,,2013,"['I', 'need', 'a', 'Hillary', 'so', 'let', 'me', 'know', 'if', 'you', 'fit', 'the', 'bill;', 'when', 'we', 'chill']"
80,81,Hillary Clinton,Male Feminist,Mazeman,positive,political,2011,"Hilary Clinton, yeah she's winning",http://genius.com/Mc-lars-male-feminist-lyrics,1386,,,2011,"['Hilary', 'Clinton', 'yeah', ""she's"", 'winning']"
81,82,Hillary Clinton,Shoot Me a Fair One,Papoose,negative,political,2008,"More like Obama versus Hillary, nothing / A intelligent black man against a woman",http://genius.com/Papoose-shoot-me-a-fair-one-lyrics,2703,,,2008,"['More', 'like', 'Obama', 'versus', 'Hillary', 'nothing', '/', 'A', 'intelligent', 'black', 'man', 'against', 'a', 'woman']"
82,83,Hillary Clinton,Krazy,Pitbull,neutral,personal,2009,Obama with no color / Hillary with no Bill,http://genius.com/Pitbull-krazy-lyrics,4990,2008-09-30,False,2008,"['Obama', 'with', 'no', 'color', '/', 'Hillary', 'with', 'no', 'Bill']"
83,84,Hillary Clinton,Happy People,Prince Ital Joe,negative,political,1993,Mr. Bill Clinton and the bird Hillary / Wrap up the war on the brutality,http://genius.com/Prince-ital-joe-happy-people-lyrics,829,,,1993,"['Mr.', 'Bill', 'Clinton', 'and', 'the', 'bird', 'Hillary', '/', 'Wrap', 'up', 'the', 'war', 'on', 'the', 'brutality']"
