id,candidate,song,artist,sentiment,theme,album_release_date,line,url,lyrics_views,track_release_date,years_match,corrected_release_year,split_lyrics
81,Hillary Clinton,Male Feminist,Mazeman,positive,political,2011,"Hilary Clinton, yeah she's winning",http://genius.com/Mc-lars-male-feminist-lyrics,1386,,,2011,"['Hilary', 'Clinton', 'yeah', ""she's"", 'winning']"
82,Hillary Clinton,Shoot Me a Fair One,Papoose,negative,political,2008,"More like Obama versus Hillary, nothing / A intelligent black man against a woman",http://genius.com/Papoose-shoot-me-a-fair-one-lyrics,2703,,,2008,"['More', 'like', 'Obama', 'versus', 'Hillary', 'nothing', '/', 'A', 'intelligent', 'black', 'man', 'against', 'a', 'woman']"
83,Hillary Clinton,Krazy,Pitbull,neutral,personal,2009,Obama with no color / Hillary with no Bill,http://genius.com/Pitbull-krazy-lyrics,4990,9/30/08,FALSE,2008,"['Obama', 'with', 'no', 'color', '/', 'Hillary', 'with', 'no', 'Bill']"
84,Hillary Clinton,Happy People,Prince Ital Joe,negative,political,1993,Mr. Bill Clinton and the bird Hillary / Wrap up the war on the brutality,http://genius.com/Prince-ital-joe-happy-people-lyrics,829,,,1993,"['Mr.', 'Bill', 'Clinton', 'and', 'the', 'bird', 'Hillary', '/', 'Wrap', 'up', 'the', 'war', 'on', 'the', 'brutality']"
85,Hillary Clinton,Yzark,Proof,neutral,personal,2004,While Clinton got head I was in the sack with old Hillary,http://genius.com/Proof-yzark-lyrics,487,,,2004,"['While', 'Clinton', 'got', 'head', 'I', 'was', 'in', 'the', 'sack', 'with', 'old', 'Hillary']"
86,Hillary Clinton,PSA,Pryde,neutral,personal,2012,But they only like me for my bill like they're Hillary,http://genius.com/Pryde-psa-lyrics,2075,,,2012,"['But', 'they', 'only', 'like', 'me', 'for', 'my', 'bill', 'like', ""they're"", 'Hillary']"
87,Hillary Clinton,Fall Down Brew,R.A. the Rugged Man,negative,,2008,"Sewed Hillary Clinton's mouth, and that's after drinkin just one",http://genius.com/Chief-chinchilla-aka-j-zone-fall-down-brew-lyrics,127,,,2008,"['Sewed', 'Hillary', ""Clinton's"", 'mouth', 'and', ""that's"", 'after', 'drinkin', 'just', 'one']"
88,Hillary Clinton,Smells Like,R.A. The Rugged Man,neutral,sexual,2013,"Hillary Clinton can get her clit done with my big tounge / Have the bitch strung, once me dick swung, her lip drip cum",http://genius.com/Jarren-benton-smells-like-lyrics,13503,6/11/13,TRUE,2013,"['Hillary', 'Clinton', 'can', 'get', 'her', 'clit', 'done', 'with', 'my', 'big', 'tounge', '/', 'Have', 'the', 'bitch', 'strung', 'once', 'me', 'dick', 'swung', 'her', 'lip', 'drip', 'cum']"
89,Hillary Clinton,Born to Ball,Skeme,positive,money,2012,But I'm all about my bills / Grind stay Hillary Rodham,http://genius.com/Skeme-born-to-ball-lyrics,344,10/16/12,TRUE,2012,"['But', ""I'm"", 'all', 'about', 'my', 'bills', '/', 'Grind', 'stay', 'Hillary', 'Rodham']"
90,Hillary Clinton,RNQ,Rhymefest,negative,political,2009,"Hillary, Jesse Jack, even Barack's involved / When police beatin' our ass, none of y'all do a damn thang",http://genius.com/Rhymefest-rnq-lyrics,548,4/7/09,TRUE,2009,"['Hillary', 'Jesse', 'Jack', 'even', ""Barack's"", 'involved', '/', 'When', 'police', ""beatin'"", 'our', 'ass', 'none', 'of', ""y'all"", 'do', 'a', 'damn', 'thang']"
91,Hillary Clinton,TimeZone,Saba,positive,personal,2014,Y'all ain't near and dear to me like William and Hillary,http://genius.com/Saba-timezone-lyrics,12151,7/15/14,TRUE,2014,"[""Y'all"", ""ain't"", 'near', 'and', 'dear', 'to', 'me', 'like', 'William', 'and', 'Hillary']"
92,Hillary Clinton,White Girl (Remix),Rick Ross,positive,,2007,"Hilary Clinton, she my best friend / Even co-signed for that new white Benz",http://genius.com/Jeezy-white-girl-remix-lyrics,18979,,,2007,"['Hilary', 'Clinton', 'she', 'my', 'best', 'friend', '/', 'Even', 'co-signed', 'for', 'that', 'new', 'white', 'Benz']"
93,Hillary Clinton,Now That I'm Paid,Rick Ross,neutral,,2012,Whip it in the kitchen before Hillary became a Clinton,http://genius.com/The-game-now-that-im-paid-lyrics,1914,4/5/12,TRUE,2012,"['Whip', 'it', 'in', 'the', 'kitchen', 'before', 'Hillary', 'became', 'a', 'Clinton']"
94,Hillary Clinton,Life So Hard,Migos,positive,,2015,Make a basic bitch feel like Hillary Clinton,http://genius.com/Migos-life-so-hard-lyrics,4201,10/22/15,TRUE,2015,"['Make', 'a', 'basic', 'bitch', 'feel', 'like', 'Hillary', 'Clinton']"
95,Hillary Clinton,I'm Me Freestyle,"Royce Da 5'9""",neutral,,2008,"This industry is Hillary Clinton literally, listen / You ain't got no choice now",http://genius.com/Royce-da-59-im-me-freestyle-lyrics,6311,9/20/08,TRUE,2008,"['This', 'industry', 'is', 'Hillary', 'Clinton', 'literally', 'listen', '/', 'You', ""ain't"", 'got', 'no', 'choice', 'now']"
96,Hillary Clinton,Back Together,Nicki Minaj,positive,,2015,Used to call me Hillary cause I ride 'em,http://genius.com/Robin-thicke-back-together-lyrics,114064,8/6/16,FALSE,2016,"['Used', 'to', 'call', 'me', 'Hillary', 'cause', 'I', 'ride', ""'em""]"
98,Hillary Clinton,What the Fuck Is Up?,Scarlett,neutral,personal,1999,"Wanna diss me, cuz I cut you down quickly / I'm Hillary to this shit, you still fuckin with Lewinsky",http://genius.com/Nore-what-the-fuck-is-up-lyrics,692,,,1999,"['Wanna', 'diss', 'me', 'cuz', 'I', 'cut', 'you', 'down', 'quickly', '/', ""I'm"", 'Hillary', 'to', 'this', 'shit', 'you', 'still', 'fuckin', 'with', 'Lewinsky']"
99,Hillary Clinton,Shit Iz Real,Shyheim,neutral,money,1996,Where ya at? Cats sacking green/ Bill/Hill Clinton,http://genius.com/Shyheim-shit-iz-real-lyrics,564,,,1996,"['Where', 'ya', 'at?', 'Cats', 'sacking', 'green/', 'Bill/Hill', 'Clinton']"
100,Hillary Clinton,Badman in Tivoli,Skepta,neutral,personal,2012,Black Bill Clinton linking Monica and Hillary,http://genius.com/Skepta-badman-in-tivoli-lyrics,14353,12/2/12,TRUE,2012,"['Black', 'Bill', 'Clinton', 'linking', 'Monica', 'and', 'Hillary']"
101,Hillary Clinton,Fresh,Slick Rick,neutral,personal,1998,Babies jump out the carriage / Could even fix the Hillary and Clinton marriage,http://genius.com/Jermaine-dupri-fresh-lyrics,710,7/21/98,TRUE,1998,"['Babies', 'jump', 'out', 'the', 'carriage', '/', 'Could', 'even', 'fix', 'the', 'Hillary', 'and', 'Clinton', 'marriage']"
102,Hillary Clinton,Sky Lanterns,Social Club,neutral,,2015,Hillary Jane over Hilary Rodham,http://genius.com/Social-club-sky-lanterns-lyrics,8912,2/9/15,TRUE,2015,"['Hillary', 'Jane', 'over', 'Hilary', 'Rodham']"
103,Hillary Clinton,Gang Love,T.H.U.G. Angelz,negative,political,2008,It's like we paying them rent to live inside a prison / Hilary Clinton is benefiting them politicians,http://genius.com/Thug-angelz-gang-love-lyrics,190,,,2008,"[""It's"", 'like', 'we', 'paying', 'them', 'rent', 'to', 'live', 'inside', 'a', 'prison', '/', 'Hilary', 'Clinton', 'is', 'benefiting', 'them', 'politicians']"
104,Hillary Clinton,Nightmares of the Bottom (Triggamix),Trey Songz,negative,sexual,2011,She think she's my bottom bitch; Hillary Rodham-ish,http://genius.com/Trey-songz-nightmares-of-the-bottom-triggamix-lyrics,8139,11/1/11,TRUE,2011,"['She', 'think', ""she's"", 'my', 'bottom', 'bitch;', 'Hillary', 'Rodham-ish']"
105,Hillary Clinton,Rich the GOAT,Rich The Kid,positive,political,2016,"Hillary hit the dab, Ima vote",http://genius.com/Rich-the-kid-rich-the-goat-lyrics,3391,2/15/16,TRUE,2016,"['Hillary', 'hit', 'the', 'dab', 'Ima', 'vote']"
106,Hillary Clinton,I Shoulda Tried Harder,Wax,neutral,personal,2013,"Bill Clinton, Hillary Clinton, I ain't talking to ya'll, nope",http://genius.com/Wax-i-shoulda-tried-harder-lyrics,9137,,,2013,"['Bill', 'Clinton', 'Hillary', 'Clinton', 'I', ""ain't"", 'talking', 'to', ""ya'll"", 'nope']"
107,Hillary Clinton,Girls Got a Gun,Yo-Yo,negative,personal,1993,Fuck Bill Clinton and Hillary,http://genius.com/Yo-yo-girls-got-a-gun-lyrics,239,6/22/93,TRUE,1993,"['Fuck', 'Bill', 'Clinton', 'and', 'Hillary']"
108,Hillary Clinton,For Real,Yung God,neutral,personal,2014,"Bang, Heavy artillery young Bill Clint / Make your girl go Hillary boy",http://genius.com/Yung-god-for-real-lyrics,851,7/29/14,TRUE,2014,"['Bang', 'Heavy', 'artillery', 'young', 'Bill', 'Clint', '/', 'Make', 'your', 'girl', 'go', 'Hillary', 'boy']"
109,Bernie Sanders,Valleys,Lupe Fiasco,positive,political,2015,"Uh, Bernie Sanders need a Nike deal",http://genius.com/Lupe-fiasco-valleys-lyrics,27445,8/28/15,TRUE,2015,"['Uh', 'Bernie', 'Sanders', 'need', 'a', 'Nike', 'deal']"
110,Bernie Sanders,The Ancap Rap,Young Rippa,negative,political,2015,Bernie sanders is an economic illiterate,http://genius.com/Young-rippa-the-ancap-rap-lyrics,1390,10/31/15,TRUE,2015,"['Bernie', 'sanders', 'is', 'an', 'economic', 'illiterate']"
111,Donald Trump,Johnny Ryall,Beastie Boys,neutral,,1989,Donald Trump and Donald Tramp living in the men's Shelter,http://genius.com/Beastie-boys-johnny-ryall-lyrics,14403,7/25/89,TRUE,1989,"['Donald', 'Trump', 'and', 'Donald', 'Tramp', 'living', 'in', 'the', ""men's"", 'Shelter']"
112,Donald Trump,Protect Ya Neck II the Zoo,12 O'Clock - Brooklyn Zu,positive,money,1995,"Given the power punch, soon to be paid like Donald Trump",http://genius.com/Ol-dirty-bastard-protect-ya-neck-ii-the-zoo-lyrics,21102,3/28/95,TRUE,1995,"['Given', 'the', 'power', 'punch', 'soon', 'to', 'be', 'paid', 'like', 'Donald', 'Trump']"
113,Donald Trump,My Word Is Bond,Donald D,positive,,1989,"And after that me and Donald Trump hung out / Donald talkin' 'bout Donald Trump,' man, y'all is crazy",http://genius.com/Ice-t-my-word-is-bond-lyrics,614,10/10/89,TRUE,1989,"['And', 'after', 'that', 'me', 'and', 'Donald', 'Trump', 'hung', 'out', '/', 'Donald', ""talkin'"", ""'bout"", 'Donald', ""Trump'"", 'man', ""y'all"", 'is', 'crazy']"
114,Donald Trump,50/Banks,50 Cent,positive,money,2002,"We can talk Trump talk, real estate, stocks, and bonds",http://genius.com/50-cent-50-banks-lyrics,2792,6/1/02,TRUE,2002,"['We', 'can', 'talk', 'Trump', 'talk', 'real', 'estate', 'stocks', 'and', 'bonds']"
115,Donald Trump,Skill Trade,Nice,positive,money,1990,I'm not rich like Donald Trump,http://genius.com/Nice-skill-trade-lyrics,215,,,1990,"[""I'm"", 'not', 'rich', 'like', 'Donald', 'Trump']"
116,Donald Trump,Strip Club Luv,69 Boyz,positive,money,1998,Girl if your beauty was a dollar you'd be richer than Trump,http://genius.com/69-boyz-strip-club-luv-lyrics,968,,,1998,"['Girl', 'if', 'your', 'beauty', 'was', 'a', 'dollar', ""you'd"", 'be', 'richer', 'than', 'Trump']"
117,Donald Trump,No Shots,7L & Esoteric,positive,money,2010,It's like Trump in your crib countin' money with you,http://genius.com/7l-no-shots-lyrics,343,10/12/10,TRUE,2010,"[""It's"", 'like', 'Trump', 'in', 'your', 'crib', ""countin'"", 'money', 'with', 'you']"
118,Donald Trump,Skypager,A Tribe Called Quest,positive,money,1991,Beeper's goin off like Don Trump gets checks,http://genius.com/A-tribe-called-quest-skypager-lyrics,16871,9/24/91,TRUE,1991,"[""Beeper's"", 'goin', 'off', 'like', 'Don', 'Trump', 'gets', 'checks']"
119,Donald Trump,Dolly and the Rat Trap,Ultramagnetic MC's,neutral,money,1992,Look at Donald Trump!,http://genius.com/Ultramagnetic-mcs-dolly-and-the-rat-trap-lyrics,172,,,1992,"['Look', 'at', 'Donald', 'Trump!']"
120,Donald Trump,The Coup,The Coup,negative,political,1993,"Break yourself Trump, it's collection day",http://genius.com/The-coup-the-coup-lyrics,1735,,,1993,"['Break', 'yourself', 'Trump', ""it's"", 'collection', 'day']"
121,Donald Trump,Give It Up Fast,Nas,positive,hotel,1996,I need a suite with the flowers complimentary at Trump Towers,http://genius.com/Mobb-deep-give-it-up-fast-lyrics,17257,11/19/96,TRUE,1996,"['I', 'need', 'a', 'suite', 'with', 'the', 'flowers', 'complimentary', 'at', 'Trump', 'Towers']"
122,Donald Trump,Trailer,Ace Hood,positive,money,2013,"I'm trying to get richer than Trump, a couple million for lunch",http://genius.com/Ace-hood-trailer-lyrics,10259,,,2013,"[""I'm"", 'trying', 'to', 'get', 'richer', 'than', 'Trump', 'a', 'couple', 'million', 'for', 'lunch']"
123,Donald Trump,The Ebonic Plague,Ras Kass,neutral,,1997,Donald Trump wouldn't let you shine his shoes my man,http://genius.com/Cru-the-ebonic-plague-lyrics,284,,,1997,"['Donald', 'Trump', ""wouldn't"", 'let', 'you', 'shine', 'his', 'shoes', 'my', 'man']"
124,Donald Trump,Yeah Yeah Yeah,Akala,positive,money,2006,"It amazes me, these rappers are so dumb / Get they advance and think they Trump",http://genius.com/Akala-yeah-yeah-yeah-lyrics,733,,,2006,"['It', 'amazes', 'me', 'these', 'rappers', 'are', 'so', 'dumb', '/', 'Get', 'they', 'advance', 'and', 'think', 'they', 'Trump']"
125,Donald Trump,Boughetto,Ali,positive,money,2002,"Trump money, but it's still the motel and Kyjuan",http://genius.com/Ali-boughetto-lyrics,1360,3/28/02,TRUE,2002,"['Trump', 'money', 'but', ""it's"", 'still', 'the', 'motel', 'and', 'Kyjuan']"
126,Donald Trump,Mafioso,Kool G. Rap,positive,hotel,1998,Can't stop until I got a Casa up in Trump plaza,http://genius.com/Kool-g-rap-mafioso-lyrics,572,10/20/98,TRUE,1998,"[""Can't"", 'stop', 'until', 'I', 'got', 'a', 'Casa', 'up', 'in', 'Trump', 'plaza']"
127,Donald Trump,Soldiers,Master P,neutral,,1998,Follow me dumpin' n----s study humpin' I ain't Donald Trump,http://genius.com/C-murder-soldiers-lyrics,1092,3/17/98,TRUE,1998,"['Follow', 'me', ""dumpin'"", 'n----s', 'study', ""humpin'"", 'I', ""ain't"", 'Donald', 'Trump']"
128,Donald Trump,Turn It Into Somethin',Frost,positive,hotel,1999,Real G's posted up at the Trump Towers,http://genius.com/Frost-turn-it-into-somethin-lyrics,214,,,1999,"['Real', ""G's"", 'posted', 'up', 'at', 'the', 'Trump', 'Towers']"
129,Donald Trump,Fire,Makeba Mooncycle,neutral,,1999,Playin Donald Trump for the mic with this,http://genius.com/Royal-fam-fire-lyrics,152,,,1999,"['Playin', 'Donald', 'Trump', 'for', 'the', 'mic', 'with', 'this']"
130,Donald Trump,Ba Bump,Black Eyed Peas,positive,money,2006,And if you got money fellas keep it like Trump,http://genius.com/Black-eyed-peas-ba-bump-lyrics,1364,5/25/05,FALSE,2005,"['And', 'if', 'you', 'got', 'money', 'fellas', 'keep', 'it', 'like', 'Trump']"
131,Donald Trump,Open Your Mind,Black The Ripper,positive,money,2013,"Who am I kidding, I'm try'na live lavish like Trump",http://genius.com/Black-the-ripper-open-your-mind-lyrics,536,,,2013,"['Who', 'am', 'I', 'kidding', ""I'm"", ""try'na"", 'live', 'lavish', 'like', 'Trump']"
132,Donald Trump,PlaneWalker,Bobby Raps,positive,money,2015,I do more deals than Donald Trump does,http://genius.com/Bobby-raps-planewalker-wuhuwahnmi2du-lyrics,1537,,,2015,"['I', 'do', 'more', 'deals', 'than', 'Donald', 'Trump', 'does']"
133,Donald Trump,New World,Nas,neutral,money,1999,The new Don Trump is Bill Gates,http://genius.com/Nas-new-world-lyrics,11865,11/23/99,TRUE,1999,"['The', 'new', 'Don', 'Trump', 'is', 'Bill', 'Gates']"
134,Donald Trump,Speed Law,Yasiin Bey (Mos Def),positive,hotel,1999,Rocked the Trump Tower to the terrordome,http://genius.com/Yasiin-bey-speed-law-lyrics,27198,10/12/99,TRUE,1999,"['Rocked', 'the', 'Trump', 'Tower', 'to', 'the', 'terrordome']"
135,Donald Trump,Molly (remix),Boston George,positive,money,2013,Big money like Donald Trump,http://genius.com/Boston-george-molly-remix-lyrics,2077,,,2013,"['Big', 'money', 'like', 'Donald', 'Trump']"
136,Donald Trump,Cloud Aura,Brooke Candy,positive,personal,2013,"Ivana and Trump, shit, we coulda' ran the world",http://genius.com/Charli-xcx-cloud-aura-lyrics,14136,4/12/13,TRUE,2013,"['Ivana', 'and', 'Trump', 'shit', 'we', ""coulda'"", 'ran', 'the', 'world']"
137,Donald Trump,Hey Papi,Jay Z,positive,hotel,2000,I went to 1 Trump Plaza on their asses,http://genius.com/Jay-z-hey-papi-lyrics,20723,7/11/00,TRUE,2000,"['I', 'went', 'to', '1', 'Trump', 'Plaza', 'on', 'their', 'asses']"
138,Donald Trump,E.I.,Nelly,positive,hotel,2000,Get a room in Trump Towers just to hit the P hours,http://genius.com/Nelly-ei-lyrics,110204,6/27/00,TRUE,2000,"['Get', 'a', 'room', 'in', 'Trump', 'Towers', 'just', 'to', 'hit', 'the', 'P', 'hours']"
139,Donald Trump,Dipshits,Cam'ron,positive,hotel,2014,"Lookin' for me? Top floor suite of the Trump, baby",http://genius.com/Camron-dipshits-lyrics,22526,5/14/14,TRUE,2014,"[""Lookin'"", 'for', 'me?', 'Top', 'floor', 'suite', 'of', 'the', 'Trump', 'baby']"
140,Donald Trump,Soundscience,Souls of Mischief,neutral,personal,2000,They high drama like Trump and Ivana,http://genius.com/Souls-of-mischief-soundscience-lyrics,470,,,2000,"['They', 'high', 'drama', 'like', 'Trump', 'and', 'Ivana']"
141,Donald Trump,Everywhere I Go,Tha Eastsidaz,positive,hotel,2001,I got a room at the Trump / Later on we can slump,http://genius.com/Tha-eastsidaz-everywhere-i-go-lyrics,752,7/31/01,TRUE,2001,"['I', 'got', 'a', 'room', 'at', 'the', 'Trump', '/', 'Later', 'on', 'we', 'can', 'slump']"
142,Donald Trump,Ghetto Manifesto,The Coup,neutral,,2001,Met Donald Trump and he froze up,http://genius.com/The-coup-ghetto-manifesto-lyrics,2220,11/6/01,TRUE,2001,"['Met', 'Donald', 'Trump', 'and', 'he', 'froze', 'up']"
143,Donald Trump,Shorty,Chingy,positive,money,2003,"I'm the young Donald Trump, is y'all hearin me?",http://genius.com/Busta-rhymes-shorty-lyrics,1408,,,2003,"[""I'm"", 'the', 'young', 'Donald', 'Trump', 'is', ""y'all"", 'hearin', 'me?']"
144,Donald Trump,Crazy,50 Cent,positive,hotel,2002,Now I'm paid - catch me in the Trump Tower lobby,http://genius.com/50-cent-crazy-lyrics,32370,,,2002,"['Now', ""I'm"", 'paid', '-', 'catch', 'me', 'in', 'the', 'Trump', 'Tower', 'lobby']"
145,Donald Trump,Wet! Wet! Wet!,Princess Superstar,neutral,hotel,2002,"Wet in the elevator, Trump Tower or my lunch hour",http://genius.com/Princess-superstar-wet-wet-wet-lyrics,431,,,2002,"['Wet', 'in', 'the', 'elevator', 'Trump', 'Tower', 'or', 'my', 'lunch', 'hour']"
146,Donald Trump,Get Paid,Styles P,positive,hotel,2002,"Tryin' to see my shit in the Forbes, Trump Tower for 'self",http://genius.com/Styles-p-get-paid-lyrics,1017,,,2002,"[""Tryin'"", 'to', 'see', 'my', 'shit', 'in', 'the', 'Forbes', 'Trump', 'Tower', 'for', ""'self""]"
147,Donald Trump,Hustle Harder,Common,positive,hotel,2014,She know what n----s want she know how to make 'em hunt / Hotel suite at the Trump,http://genius.com/Common-hustle-harder-lyrics,7293,7/22/14,TRUE,2014,"['She', 'know', 'what', 'n----s', 'want', 'she', 'know', 'how', 'to', 'make', ""'em"", 'hunt', '/', 'Hotel', 'suite', 'at', 'the', 'Trump']"
148,Donald Trump,John They're Stealing,Thirstin Howl III,neutral,money,2002,"Sold to Donald Trump, for personal checks",http://genius.com/Thirstin-howl-iii-john-theyre-stealing-lyrics,229,,,2002,"['Sold', 'to', 'Donald', 'Trump', 'for', 'personal', 'checks']"
149,Donald Trump,Motion,Curren$y,positive,hotel,2012,Car service brung me to the Trump Tower,http://genius.com/Curren-y-motion-lyrics,5299,10/31/12,TRUE,2012,"['Car', 'service', 'brung', 'me', 'to', 'the', 'Trump', 'Tower']"
150,Donald Trump,Kick Back Music,CyHi The Prynce,neutral,hotel,2013,That might get you staying a couple nights up at the Trump,http://genius.com/Cyhi-the-prynce-kick-back-music-lyrics,3003,1/30/13,TRUE,2013,"['That', 'might', 'get', 'you', 'staying', 'a', 'couple', 'nights', 'up', 'at', 'the', 'Trump']"
151,Donald Trump,SkyScraper V,D.R.C,positive,money,2013,I'm trying to make it large trying to Donald Trump it,http://genius.com/Drc-skyscraper-v-lyrics,141,9/1/13,TRUE,2013,"[""I'm"", 'trying', 'to', 'make', 'it', 'large', 'trying', 'to', 'Donald', 'Trump', 'it']"
152,Donald Trump,Take It Off Part 2,Busta Rhymes,positive,hotel,2002,Kennedy loft hoes mackin at the top of the Trump Towers,http://genius.com/Busta-rhymes-take-it-off-part-2-lyrics,560,11/26/02,TRUE,2002,"['Kennedy', 'loft', 'hoes', 'mackin', 'at', 'the', 'top', 'of', 'the', 'Trump', 'Towers']"
153,Donald Trump,Jussummen,Das EFX,positive,money,1992,I went and break a slut like Donald Trump can break a million,http://genius.com/Das-efx-jussummen-lyrics,4688,,,1992,"['I', 'went', 'and', 'break', 'a', 'slut', 'like', 'Donald', 'Trump', 'can', 'break', 'a', 'million']"
154,Donald Trump,What More Can I Say,Jay Z,positive,hotel,2003,I'm at the Trump International: ask for me I ain't never scared,http://genius.com/Jay-z-what-more-can-i-say-lyrics,235623,11/4/03,TRUE,2003,"[""I'm"", 'at', 'the', 'Trump', 'International:', 'ask', 'for', 'me', 'I', ""ain't"", 'never', 'scared']"
155,Donald Trump,Nothing More,DeDa,positive,money,2003,"Cause boom, you can be Donald Trump and shit",http://genius.com/Pete-rock-nothing-more-lyrics,426,,,2003,"['Cause', 'boom', 'you', 'can', 'be', 'Donald', 'Trump', 'and', 'shit']"
156,Donald Trump,Tightanic,Demark,positive,money,2014,We'ï¿_ll run the market like we be Donald Trump,http://genius.com/Double-p-tightanic-lyrics,205,10/18/14,TRUE,2014,"[""We'ï¿_ll"", 'run', 'the', 'market', 'like', 'we', 'be', 'Donald', 'Trump']"
157,Donald Trump,Feel the Beat,LL Cool J,positive,hotel,2004,Spend a night in Trump Towers with a blue eyed blonde,http://genius.com/Ll-cool-j-feel-the-beat-lyrics,638,,,2004,"['Spend', 'a', 'night', 'in', 'Trump', 'Towers', 'with', 'a', 'blue', 'eyed', 'blonde']"
158,Donald Trump,Shyne,Shyne,positive,hotel,2004,"And dick for you bitches, up in the Trump Tower",http://genius.com/Shyne-shyne-lyrics,4887,8/21/04,TRUE,2004,"['And', 'dick', 'for', 'you', 'bitches', 'up', 'in', 'the', 'Trump', 'Tower']"
159,Donald Trump,Right to Bare Arms,Killah Priest,negative,,2005,This one's for the cops and the war lord Trump,http://genius.com/Maccabeez-right-to-bare-arms-lyrics,127,,,2005,"['This', ""one's"", 'for', 'the', 'cops', 'and', 'the', 'war', 'lord', 'Trump']"
160,Donald Trump,We Gon' Make It,Diddy,positive,money,2006,"That Bill Gates, Donald Trump, Bloomberg money",http://genius.com/Puff-daddy-we-gon-make-it-lyrics,1006,10/17/06,TRUE,2006,"['That', 'Bill', 'Gates', 'Donald', 'Trump', 'Bloomberg', 'money']"
161,Donald Trump,Good Morning,Cage,neutral,,2005,Donald Trump shotgun pumps illegal store fronts,http://genius.com/Cage-good-morning-lyrics,3743,,,2005,"['Donald', 'Trump', 'shotgun', 'pumps', 'illegal', 'store', 'fronts']"
162,Donald Trump,Dumb,The High & Mighty,negative,personal,2005,"I'm Donald Trump, with raccoon hair-dos",http://genius.com/The-high-and-mighty-dumb-lyrics,4387,,,2005,"[""I'm"", 'Donald', 'Trump', 'with', 'raccoon', 'hair-dos']"
163,Donald Trump,I Wish You Would,Chino XL,neutral,The Apprentice,2005,Music's my apprentice Donald Trump couldn't fire me,http://genius.com/Sway-i-wish-you-would-lyrics,845,,,2005,"[""Music's"", 'my', 'apprentice', 'Donald', 'Trump', ""couldn't"", 'fire', 'me']"
164,Donald Trump,Money Talks,Double X Posse,positive,money,1995,A bank account so fat that Donald Trump would wanna be me,http://genius.com/Double-x-double-xx-posse-money-talks-lyrics,642,,,1995,"['A', 'bank', 'account', 'so', 'fat', 'that', 'Donald', 'Trump', 'would', 'wanna', 'be', 'me']"
165,Donald Trump,I'm Ballin' Man,Drama,positive,money,2000,More realer than Rockafeller more cheese than Donald Trump,http://genius.com/Dr-ama-im-ballin-lyrics,244,,,2000,"['More', 'realer', 'than', 'Rockafeller', 'more', 'cheese', 'than', 'Donald', 'Trump']"
166,Donald Trump,Shut Up Bitch,Lil Kim,positive,hotel,2005,"I'm in the Trump International, 30 floors up (so high)",http://genius.com/Lil-kim-shut-up-bitch-lyrics,10013,9/27/05,TRUE,2005,"[""I'm"", 'in', 'the', 'Trump', 'International', '30', 'floors', 'up', '(so', 'high)']"
167,Donald Trump,Trump Change,E-40,positive,money,1998,"Trump change, I'm talkin Donald Trump change",http://genius.com/E-40-trump-change-lyrics,777,8/11/98,TRUE,1998,"['Trump', 'change', ""I'm"", 'talkin', 'Donald', 'Trump', 'change']"
168,Donald Trump,Heavy Metal Kings,Jedi Mind Tricks,neutral,The Apprentice,2006,"I'm like Trump in the Apprentice, only fire at night",http://genius.com/Jedi-mind-tricks-heavy-metal-kings-lyrics,40245,8/1/06,TRUE,2006,"[""I'm"", 'like', 'Trump', 'in', 'the', 'Apprentice', 'only', 'fire', 'at', 'night']"
169,Donald Trump,The N,Nas,neutral,personal,2006,The Apprentice but not Trump,http://genius.com/Nas-the-n-lyrics,3567,12/19/06,TRUE,2006,"['The', 'Apprentice', 'but', 'not', 'Trump']"
170,Donald Trump,Buy U Some 2,Erick Sermon,positive,money,2006,"No need to talk about the reeiches, I mean Trump punk",http://genius.com/Too-short-buy-u-some-2-lyrics,275,,,2006,"['No', 'need', 'to', 'talk', 'about', 'the', 'reeiches', 'I', 'mean', 'Trump', 'punk']"
171,Donald Trump,Favorite Drug,Styles P,positive,hotel,2006,"Got a blunt blaze it up, we can get a room in the Trump",http://genius.com/Styles-p-favorite-drug-lyrics,1063,,,2006,"['Got', 'a', 'blunt', 'blaze', 'it', 'up', 'we', 'can', 'get', 'a', 'room', 'in', 'the', 'Trump']"
172,Donald Trump,Mo Cars Mo Hoes,Fabolous,positive,money,2008,"They know I'm hood rich, Donald Trump of the pumpers",http://genius.com/Fabolous-mo-cars-mo-hoes-lyrics,1434,,,2008,"['They', 'know', ""I'm"", 'hood', 'rich', 'Donald', 'Trump', 'of', 'the', 'pumpers']"
173,Donald Trump,So What,Far East Movement,positive,money,2010,Hundred dollar bills stacked higher than the Trump,http://genius.com/Far-east-movement-so-what-lyrics,972,,,2010,"['Hundred', 'dollar', 'bills', 'stacked', 'higher', 'than', 'the', 'Trump']"
174,Donald Trump,LIE-Z,Fat Boys,positive,money,1989,"Boy, I got money like Donald Trump!",http://genius.com/Fat-boys-lie-z-lyrics,338,,,1989,"['Boy', 'I', 'got', 'money', 'like', 'Donald', 'Trump!']"
175,Donald Trump,Jealousy,Fat Joe,positive,money,2006,We fuckin with Donald Trump now,http://genius.com/Fat-joe-jealousy-lyrics,526,,,2006,"['We', 'fuckin', 'with', 'Donald', 'Trump', 'now']"
