id,candidate,song,artist,sentiment,theme,album_release_date,line,url,lyrics_views,track_release_date,years_match,corrected_release_year,split_lyrics
20,Hillary Clinton,Take Notice,Sheek Louch,neutral,,2012,"Hillary said I frighten her / Alarm go off, choking off the teeth whitener",http://genius.com/Wu-block-take-notice-lyrics,166,,,2012,"['Hillary', 'said', 'I', 'frighten', 'her', '/', 'Alarm', 'go', 'off', 'choking', 'off', 'the', 'teeth', 'whitener']"
21,Hillary Clinton,Disgusting,Logic,neutral,personal,2012,However on the light of note I stayed with bills like Hilary,http://genius.com/Logic-disgusting-lyrics,89718,4/30/12,TRUE,2012,"['However', 'on', 'the', 'light', 'of', 'note', 'I', 'stayed', 'with', 'bills', 'like', 'Hilary']"
22,Hillary Clinton,My Heart,Jae Tips,neutral,personal,2011,Michelle to my Obama / You Hilary my Clinton,http://genius.com/Jae-tips-my-heart-lyrics,210,,,2011,"['Michelle', 'to', 'my', 'Obama', '/', 'You', 'Hilary', 'my', 'Clinton']"
23,Hillary Clinton,We Can Get It On,Yo Gotti,neutral,personal,2012,"We like Hova and B / Maybe Hillary, Bill",http://genius.com/Yo-gotti-we-can-get-it-on-lyrics,5955,12/11/10,FALSE,2010,"['We', 'like', 'Hova', 'and', 'B', '/', 'Maybe', 'Hillary', 'Bill']"
24,Hillary Clinton,Where They Do That At,Yo Gotti,positive,,2015,All I know is white girl I call her Hillary cause that bitch got power plus she so considerate,http://genius.com/Yo-gotti-where-they-do-that-at-lyrics,1069,7/28/10,FALSE,2010,"['All', 'I', 'know', 'is', 'white', 'girl', 'I', 'call', 'her', 'Hillary', 'cause', 'that', 'bitch', 'got', 'power', 'plus', 'she', 'so', 'considerate']"
25,Hillary Clinton,What If,Nas,neutral,,2009,What if Hilary and them was Reptilian? / And 2012 was the end of men and all world civilians?,http://genius.com/Jadakiss-what-if-lyrics,18125,4/7/09,TRUE,2009,"['What', 'if', 'Hilary', 'and', 'them', 'was', 'Reptilian?', '/', 'And', '2012', 'was', 'the', 'end', 'of', 'men', 'and', 'all', 'world', 'civilians?']"
26,Hillary Clinton,We Live This,Roxanne ShantÌ©,neutral,,2000,"Roxanne ShantÌ©, Hilary Clinton / Lay out the red carpet y'all hoes shut up and listen",http://genius.com/Big-noyd-we-live-this-lyrics,563,11/21/00,TRUE,2000,"['Roxanne', 'ShantÌ©', 'Hilary', 'Clinton', '/', 'Lay', 'out', 'the', 'red', 'carpet', ""y'all"", 'hoes', 'shut', 'up', 'and', 'listen']"
27,Hillary Clinton,Set Me Free,Crunch Lo,neutral,,2005,"I'm so sex, and my Bonnie, my mami, my Hillary Rod",http://genius.com/Dom-pachino-set-me-free-lyrics,171,,,2005,"[""I'm"", 'so', 'sex', 'and', 'my', 'Bonnie', 'my', 'mami', 'my', 'Hillary', 'Rod']"
28,Hillary Clinton,Letter to the King,The Game,neutral,political,2008,If Dr. King marched today would Bill Gates march / I know Obama would but would Hilary take part,http://genius.com/The-game-letter-to-the-king-lyrics,28801,8/26/08,TRUE,2008,"['If', 'Dr.', 'King', 'marched', 'today', 'would', 'Bill', 'Gates', 'march', '/', 'I', 'know', 'Obama', 'would', 'but', 'would', 'Hilary', 'take', 'part']"
29,Hillary Clinton,Grillz,Ali,neutral,,2005,Got a bill in my mouth like I'm Hillary Rodham,http://genius.com/Nelly-grillz-lyrics,105004,6/7/05,TRUE,2005,"['Got', 'a', 'bill', 'in', 'my', 'mouth', 'like', ""I'm"", 'Hillary', 'Rodham']"
30,Hillary Clinton,Nothing on My Mind,AllDay,neutral,,2013,Young buck but I never suck call me Hillary,http://genius.com/Allday-nothing-on-my-mind-lyrics,4656,7/28/13,TRUE,2013,"['Young', 'buck', 'but', 'I', 'never', 'suck', 'call', 'me', 'Hillary']"
31,Hillary Clinton,Gossip Folks,Angel Haze,negative,,2012,ï¿_ï¿_ï¿_Cause I was alone at the bottom / Kept getting played like Hilary Rodham,http://genius.com/Angel-haze-gossip-folks-lyrics,8765,1/1/12,TRUE,2012,"['ï¿_ï¿_ï¿_Cause', 'I', 'was', 'alone', 'at', 'the', 'bottom', '/', 'Kept', 'getting', 'played', 'like', 'Hilary', 'Rodham']"
32,Hillary Clinton,No Church in the Wild Freestyle,Angel Haze,negative,political,2012,"We goverend by fucking animals hello Mr. Obama, Comma Mrs. Obama comma future elections, hello Hillary Rodham",http://genius.com/Angel-haze-no-church-in-the-wild-freestyle-lyrics,6205,,,2012,"['We', 'goverend', 'by', 'fucking', 'animals', 'hello', 'Mr.', 'Obama', 'Comma', 'Mrs.', 'Obama', 'comma', 'future', 'elections', 'hello', 'Hillary', 'Rodham']"
